base.name link1 link2 link3
       G5    G6     n     n
      G35   G36     n     n
      G65   G66     n     n
      G95   G96     n     n
     G125  G126     n     n
     G155  G156  G157     n
       W3    W2    W1  G186
      W36   W37     n     n
      W70   W71     n     n
     W104  W105     n     n
     W138  W139     n     n
     W172  W173     n     n
     W206  W207     n     n
     W240  W241     n     n
     W274  W275     n     n
     W308  W309     n     n
     W342  W343     n     n
     W376  W377     n     n
     W410  W411     n     n
     W444  W445     n     n
     W478  W479     n     n
     W512  W513     n     n
     W546  W547     n     n
     W580  W581     n     n
     W614  W615     n     n
     W648  W649     n     n
     W682  W683     n     n
     W716  W717     n     n
     W750  W751     n     n
     W784  W785     n     n
     W818  W819     n     n
     W852  W853     n     n
     W886  W887     n     n
     W920  W921     n     n
     W954  W955     n     n
     W988  W989     n     n
    W1022 W1023     n     n
    W1056 W1057     n     n
    W1090 W1091     n     n
    W1125 W1124 W1123     n
     G726  G727  G728     n
     G756  G757     n     n
     G786  G787     n     n
     G816  G817     n     n
     G846  G847     n     n
     G876  G877     n     n
       G9   G10     n     n
      G39   G40     n     n
      G69   G70     n     n
      G99  G100     n     n
     G129  G130     n     n
     G159  G160  G161     n
       W9    W8    W7     n
      W42   W43     n     n
      W76   W77     n     n
     W110  W111     n     n
     W144  W145     n     n
     W178  W179     n     n
     W212  W213     n     n
     W246  W247     n     n
     W280  W281     n     n
     W314  W315     n     n
     W348  W349     n     n
     W382  W383     n     n
     W416  W417     n     n
     W450  W451     n     n
     W484  W485     n     n
     W518  W519     n     n
     W552  W553     n     n
     W586  W587     n     n
     W620  W621     n     n
     W654  W655     n     n
     W688  W689     n     n
     W722  W723     n     n
     W756  W757     n     n
     W790  W791     n     n
     W824  W825     n     n
     W858  W859     n     n
     W892  W893     n     n
     W926  W927     n     n
     W960  W961     n     n
     W994  W995     n     n
    W1028 W1029     n     n
    W1062 W1063     n     n
    W1096 W1097     n     n
    W1131 W1130 W1129     n
     G730  G731     n     n
     G760  G761     n     n
     G790  G791     n     n
     G820  G821     n     n
     G850  G851     n     n
     G880  G881     n     n
      G12   G13     n     n
      G42   G43     n     n
      G72   G73     n     n
     G102  G103     n     n
     G132  G133     n     n
     G163  G164     n     n
      W14   W15     n     n
      W48   W49     n     n
      W82   W83     n     n
     W116  W117     n     n
     W150  W151     n     n
     W184  W185     n     n
     W218  W219     n     n
     W252  W253     n     n
     W286  W287     n     n
     W320  W321     n     n
     W354  W355     n     n
     W388  W389     n     n
     W422  W423     n     n
     W456  W457     n     n
     W490  W491     n     n
     W524  W525     n     n
     W558  W559     n     n
     W592  W593     n     n
     W626  W627     n     n
     W660  W661     n     n
     W694  W695     n     n
     W728  W729     n     n
     W762  W763     n     n
     W796  W797     n     n
     W830  W831     n     n
     W864  W865     n     n
     W898  W899     n     n
     W932  W933     n     n
     W966  W967     n     n
    W1000 W1001     n     n
    W1034 W1035     n     n
    W1068 W1069     n     n
    W1102 W1103     n     n
    W1136 W1137 W1138     n
     G734  G735     n     n
     G763  G764     n     n
     G793  G794     n     n
     G823  G824     n     n
     G853  G854     n     n
     G883  G884     n     n
      G16   G17     n     n
      G46   G47     n     n
      G76   G77     n     n
     G106  G107     n     n
     G136  G137     n     n
     G166  G167     n     n
      W21   W19   W20     n
      W54   W55     n     n
      W88   W89     n     n
     W122  W123     n     n
     W156  W157     n     n
     W190  W191     n     n
     W224  W225     n     n
     W258  W259     n     n
     W292  W293     n     n
     W326  W327     n     n
     W360  W361     n     n
     W394  W395     n     n
     W428  W429     n     n
     W462  W463     n     n
     W496  W497     n     n
     W530  W531     n     n
     W564  W565     n     n
     W598  W599     n     n
     W632  W633     n     n
     W666  W667     n     n
     W700  W701     n     n
     W734  W735     n     n
     W768  W769     n     n
     W802  W803     n     n
     W836  W837     n     n
     W870  W871     n     n
     W904  W905     n     n
     W938  W939     n     n
     W972  W973     n     n
    W1006 W1007     n     n
    W1040 W1041     n     n
    W1074 W1075     n     n
    W1108 W1109     n     n
    W1142 W1143     n     n
     G737  G738     n     n
     G767  G768     n     n
     G797  G798     n     n
     G827  G828     n     n
     G857  G858     n     n
     G887  G888     n     n
      G20   G21     n     n
      G50   G51     n     n
      G80   G81     n     n
     G110  G111     n     n
     G140  G141     n     n
     G170  G171     n     n
      W26   W27   W28     n
      W60   W61     n     n
      W94   W95     n     n
     W128  W129     n     n
     W162  W163     n     n
     W196  W197     n     n
     W230  W231     n     n
     W264  W265     n     n
     W298  W299     n     n
     W332  W333     n     n
     W366  W367     n     n
     W400  W401     n     n
     W434  W435     n     n
     W468  W469     n     n
     W502  W503     n     n
     W536  W537     n     n
     W570  W571     n     n
     W604  W605     n     n
     W638  W639     n     n
     W672  W673     n     n
     W706  W707     n     n
     W740  W741     n     n
     W774  W775     n     n
     W808  W809     n     n
     W842  W843     n     n
     W876  W877     n     n
     W910  W911     n     n
     W944  W945     n     n
     W978  W979     n     n
    W1012 W1013     n     n
    W1046 W1047     n     n
    W1080 W1081     n     n
    W1114 W1115     n     n
    W1148 W1149 W1150     n
     G742  G740  G741     n
     G771  G772     n     n
     G801  G802     n     n
     G831  G832     n     n
     G861  G862     n     n
     G891  G892     n     n
      G24   G25     n     n
      G54   G55     n     n
      G84   G85     n     n
     G114  G115     n     n
     G144  G145     n     n
     G175  G174  G173     n
      W32   W33   W34     n
      W66   W67     n     n
     W100  W101     n     n
     W134  W135     n     n
     W168  W169     n     n
     W202  W203     n     n
     W236  W237     n     n
     W270  W271     n     n
     W304  W305     n     n
     W338  W339     n     n
     W372  W373     n     n
     W406  W407     n     n
     W440  W441     n     n
     W474  W475     n     n
     W508  W509     n     n
     W542  W543     n     n
     W576  W577     n     n
     W610  W611     n     n
     W644  W645     n     n
     W678  W679     n     n
     W712  W713     n     n
     W746  W747     n     n
     W780  W781     n     n
     W814  W815     n     n
     W848  W849     n     n
     W882  W883     n     n
     W916  W917     n     n
     W950  W951     n     n
     W984  W985     n     n
    W1018 W1019     n     n
    W1052 W1053     n     n
    W1086 W1087     n     n
    W1120 W1121     n     n
    W1154 W1155 W1156     n
     G746  G744  G745     n
     G775  G776     n     n
     G805  G806     n     n
     G835  G836     n     n
     G865  G866     n     n
     G895  G896     n     n
